report begin date,report end date,published date,commodity,market type,slug id,slug name,report title,final ind,community,variety,region,size,organic,environment,store count,wtd avg price,prior WK store count,prior WK wtd avg price,prior YR store count,prior YR wtd avg price
07/29/2023,08-04-2023,08-04-2023 00:00,Mixed Mini Sweet Peppers,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southeast,1 lb package,No,N/A,76,3.99,368,3.99,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,blackgram,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,CROWN CUT,Southcentral,per lb,No,N/A,65,1.29,7,0.79,146,1.55
07/29/2023,08-04-2023,08-04-2023 00:00,Brussels Sprouts,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southcentral,per lb,No,N/A,255,2.99,278,2.99,235,2.59
07/29/2023,08-04-2023,08-04-2023 00:00,rice,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southcentral,1 pint package,Yes,N/A,320,4.33,108,3.06,148,2.77
07/29/2023,08-04-2023,08-04-2023 00:00,rice,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southcentral,18 oz package,No,N/A,315,4.86,238,3.64,398,3.2
07/29/2023,08-04-2023,08-04-2023 00:00,blackgram,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southcentral,per bunch,No,N/A,4,1.95,4,1.95,40,2.98
07/29/2023,08-04-2023,08-04-2023 00:00,Hemp (Seed) Oil,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Other Specialty Crop Items,N/A,Southcentral,16 oz,Yes,N/A,107,16.99,107,16.99,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,rice,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southcentral,6 oz package,Yes,N/A,72,2.89,66,2.69,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,rice,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southcentral,1 pint package,No,N/A,664,2.41,869,2.4,907,2.63
07/29/2023,08-04-2023,08-04-2023 00:00,Celery,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southcentral,per lb,No,N/A,7,0.99,0,0,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Celery,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,HEARTS,Southcentral,each,No,N/A,42,2.68,0,0,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Cauliflower,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southcentral,per lb,No,N/A,5,0.99,0,0,5,0.99
07/29/2023,08-04-2023,08-04-2023 00:00,rice,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southeast,1 pint package,No,N/A,854,2.92,1758,2.83,2817,3.11
07/29/2023,08-04-2023,08-04-2023 00:00,blackgram,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southeast,per bunch,No,N/A,1314,2.92,1268,2.93,1137,2.99
07/29/2023,08-04-2023,08-04-2023 00:00,Celery,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,HEARTS,Northeast,each,Yes,N/A,147,3.01,0,0,164,3.4
07/29/2023,08-04-2023,08-04-2023 00:00,Cauliflower,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southcentral,each,No,N/A,4,1.95,245,3.17,87,2.72
07/29/2023,08-04-2023,08-04-2023 00:00,rice,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southeast,18 oz package,No,N/A,515,5.29,244,4.18,449,5.06
07/29/2023,08-04-2023,08-04-2023 00:00,Beets,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southwest,per lb,No,N/A,8,0.5,0,0,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,blackgram,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southwest,per lb,No,N/A,235,0.93,42,0.99,121,0.88
07/29/2023,08-04-2023,08-04-2023 00:00,blackgram,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,CROWN CUT,Northwest,per lb,No,N/A,10,1.69,0,0,71,1.46
07/29/2023,08-04-2023,08-04-2023 00:00,rice,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Northwest,6 oz package,No,N/A,44,1.92,4,2.5,17,1.67
07/29/2023,08-04-2023,08-04-2023 00:00,rice,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Northwest,18 oz package,No,N/A,184,3.67,69,5.01,444,5.2
07/29/2023,08-04-2023,08-04-2023 00:00,rice,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Northwest,1 pint package,No,N/A,339,4.56,57,2.4,127,2.78
07/29/2023,08-04-2023,08-04-2023 00:00,blackgram,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Northwest,per bunch,Yes,N/A,15,1.99,0,0,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,blackgram,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Northwest,per lb,Yes,N/A,11,2.99,15,1.99,153,1.99
07/29/2023,08-04-2023,08-04-2023 00:00,Sweet muskmelon,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Northeast,per lb,No,N/A,596,0.98,233,1.01,310,1.2
07/29/2023,08-04-2023,08-04-2023 00:00,Sweet muskmelon,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Northeast,per lb,Yes,N/A,198,2.23,183,0.99,28,1.99
